,primary_key,location_code,location,plastics_polymer,plastics_applications,total_waste,total_use
174,OE6PURElectrical/electronics,OE6,OECD Non-EU,PUR,Electrical/electronics,0.032388411,0.042064
175,OE6BioplasticsElectrical/electronics,OE6,OECD Non-EU,Bioplastics,Electrical/electronics,0.001714803,0.002217
176,"OE6ABS, ASA, SANElectrical/electronics",OE6,OECD Non-EU,"ABS, ASA, SAN",Electrical/electronics,0.090685497,0.117776
177,OE6OtherTransportation - other,OE6,OECD Non-EU,Other,Transportation - other,0.707727229,1.003437
178,"OE6LDPE, LLDPETransportation - other",OE6,OECD Non-EU,"LDPE, LLDPE",Transportation - other,0.012810443,0.018039
179,OE6HDPETransportation - other,OE6,OECD Non-EU,HDPE,Transportation - other,0.057940347,0.081825
180,OE6PPTransportation - other,OE6,OECD Non-EU,PP,Transportation - other,0.266803982,0.374245
181,OE6PVCTransportation - other,OE6,OECD Non-EU,PVC,Transportation - other,0.035882169,0.051476
182,OE6PURTransportation - other,OE6,OECD Non-EU,PUR,Transportation - other,0.085265278,0.120857
183,OE6FibresTransportation - other,OE6,OECD Non-EU,Fibres,Transportation - other,0.151567513,0.214835
184,OE6BioplasticsTransportation - other,OE6,OECD Non-EU,Bioplastics,Transportation - other,0.004148848,0.005866
185,"OE6ABS, ASA, SANTransportation - other",OE6,OECD Non-EU,"ABS, ASA, SAN",Transportation - other,0.03723,0.052771
186,OE6Marine coatingsMarine coatings,OE6,OECD Non-EU,Marine coatings,Marine coatings,0.019381544,0.022874
187,"OE6LDPE, LLDPEIndustrial/machinery",OE6,OECD Non-EU,"LDPE, LLDPE",Industrial/machinery,0.020172638,0.04094
188,OE6HDPEIndustrial/machinery,OE6,OECD Non-EU,HDPE,Industrial/machinery,0.018686131,0.039313
189,OE6PPIndustrial/machinery,OE6,OECD Non-EU,PP,Industrial/machinery,0.027834209,0.055632
190,OE6PURIndustrial/machinery,OE6,OECD Non-EU,PUR,Industrial/machinery,0.026764289,0.04994
191,OE6HDPEPersonal care products,OE6,OECD Non-EU,HDPE,Personal care products,0.00093715,0.000931
192,OE6PPPersonal care products,OE6,OECD Non-EU,PP,Personal care products,2.4187e-05,2.4e-05
193,OE6FibresTextile sector - clothing,OE6,OECD Non-EU,Fibres,Textile sector - clothing,0.643298515,0.722742
194,OE6BioplasticsTextile sector - clothing,OE6,OECD Non-EU,Bioplastics,Textile sector - clothing,0.005503961,0.006109
195,OE6FibresTextile sector - others,OE6,OECD Non-EU,Fibres,Textile sector - others,0.58899225,0.6629
196,OE6Road marking coatingsRoad marking,OE6,OECD Non-EU,Road marking coatings,Road marking,0.026696078,0.030659
197,OE6Elastomers (tyres)Transportation - tyres,OE6,OECD Non-EU,Elastomers (tyres),Transportation - tyres,0.17638335,0.237291
198,OPAOtherOther,OPA,OECD Asia,Other,Other,0.932926265,1.074981
199,"OPALDPE, LLDPEOther",OPA,OECD Asia,"LDPE, LLDPE",Other,0.154698383,0.183895
200,OPAHDPEOther,OPA,OECD Asia,HDPE,Other,0.118448861,0.144412
201,OPAPSOther,OPA,OECD Asia,PS,Other,0.056509459,0.0663
202,OPAPVCOther,OPA,OECD Asia,PVC,Other,0.19253736,0.227791
203,OPAPUROther,OPA,OECD Asia,PUR,Other,0.156220526,0.180421
