"LOCATION","Location","PLASTIC_CATEGORY","Plastic category","PLASTIC_SOURCES","Plastic sources","Value","Flag Codes","Flags"
"OAF","Other Africa","MICROPLASTICS","Microplastics","ARTIFICIAL_TURF","Artificial turf",0,,
"OAF","Other Africa","MICROPLASTICS","Microplastics","MICROPLASTICS_DUST","Microplastics dust",0.116494408,,
"OAF","Other Africa","MICROPLASTICS","Microplastics","WW_SLUDGE","WW sludge",0.003704155,,
"ODA","Other non-OECD Asia","MACROPLASTICS","Macroplastics","TOTAL_MACROPLASTIC","Total Macroplastic",2.929799558,,
"ODA","Other non-OECD Asia","MACROPLASTICS","Macroplastics","MARINE_ACTIVITIES","Marine activities",0.045969469,,
"ODA","Other non-OECD Asia","MACROPLASTICS","Macroplastics","LITTERING","Littering",0.11918759,,
"ODA","Other non-OECD Asia","MACROPLASTICS","Macroplastics","MISMANAGED","Mismanaged",2.764642499,,
"ODA","Other non-OECD Asia","MICROPLASTICS","Microplastics","TOTAL_MICROPLASTIC","Total Microplastic",0.305175843,,
"ODA","Other non-OECD Asia","MICROPLASTICS","Microplastics","PRIMARY_PELLETS","Primary pellets",0.03527435,,
"ODA","Other non-OECD Asia","MICROPLASTICS","Microplastics","MICROBEADS","Microbeads",0.000292275,,
"ODA","Other non-OECD Asia","MICROPLASTICS","Microplastics","TEXTILE_WASH","Textile wash",0.000327744,,
"ODA","Other non-OECD Asia","MICROPLASTICS","Microplastics","TYRE_ABRASION","Tyre abrasion",0.092749087,,
"ODA","Other non-OECD Asia","MICROPLASTICS","Microplastics","BRAKE_DUST","Brake dust",0.006537575,,
"ODA","Other non-OECD Asia","MICROPLASTICS","Microplastics","ROAD_MARKINGS","Road markings",0.018037548,,
"ODA","Other non-OECD Asia","MICROPLASTICS","Microplastics","MARINE_COATINGS","Marine coatings",0.00364862,,
"ODA","Other non-OECD Asia","MICROPLASTICS","Microplastics","ARTIFICIAL_TURF","Artificial turf",0.002142992,,
"ODA","Other non-OECD Asia","MICROPLASTICS","Microplastics","MICROPLASTICS_DUST","Microplastics dust",0.138215593,,
"ODA","Other non-OECD Asia","MICROPLASTICS","Microplastics","WW_SLUDGE","WW sludge",0.007950059,,
"USA1","United States","MACROPLASTICS","Macroplastics","TOTAL_MACROPLASTIC","Total Macroplastic",0.560790059,,
"USA1","United States","MACROPLASTICS","Macroplastics","MARINE_ACTIVITIES","Marine activities",0.004585389,,
"USA1","United States","MACROPLASTICS","Macroplastics","LITTERING","Littering",0.139406781,,
"USA1","United States","MACROPLASTICS","Macroplastics","MISMANAGED","Mismanaged",0.416797889,,
"USA1","United States","MICROPLASTICS","Microplastics","TOTAL_MICROPLASTIC","Total Microplastic",0.389851611,,
"USA1","United States","MICROPLASTICS","Microplastics","PRIMARY_PELLETS","Primary pellets",0.033731701,,
"USA1","United States","MICROPLASTICS","Microplastics","MICROBEADS","Microbeads",0.000494283,,
"USA1","United States","MICROPLASTICS","Microplastics","TEXTILE_WASH","Textile wash",0.00126709,,
"USA1","United States","MICROPLASTICS","Microplastics","TYRE_ABRASION","Tyre abrasion",0.095288622,,
"USA1","United States","MICROPLASTICS","Microplastics","BRAKE_DUST","Brake dust",0.006420526,,
"USA1","United States","MICROPLASTICS","Microplastics","ROAD_MARKINGS","Road markings",0.027394378,,
"USA1","United States","MICROPLASTICS","Microplastics","MARINE_COATINGS","Marine coatings",0.010568532,,
"USA1","United States","MICROPLASTICS","Microplastics","ARTIFICIAL_TURF","Artificial turf",0.013208641,,
"USA1","United States","MICROPLASTICS","Microplastics","MICROPLASTICS_DUST","Microplastics dust",0.02983672,,
"USA1","United States","MICROPLASTICS","Microplastics","WW_SLUDGE","WW sludge",0.171641118,,
"CAN1","Canada","MACROPLASTICS","Macroplastics","TOTAL_MACROPLASTIC","Total Macroplastic",0.107156041,,
"CAN1","Canada","MACROPLASTICS","Macroplastics","MARINE_ACTIVITIES","Marine activities",0.002108302,,
"CAN1","Canada","MACROPLASTICS","Macroplastics","LITTERING","Littering",0.012739458,,
"CAN1","Canada","MACROPLASTICS","Macroplastics","MISMANAGED","Mismanaged",0.09230828,,
"CAN1","Canada","MICROPLASTICS","Microplastics","TOTAL_MICROPLASTIC","Total Microplastic",0.032837452,,
"CAN1","Canada","MICROPLASTICS","Microplastics","PRIMARY_PELLETS","Primary pellets",0.002040205,,
"CAN1","Canada","MICROPLASTICS","Microplastics","MICROBEADS","Microbeads",0.000066714,,
"CAN1","Canada","MICROPLASTICS","Microplastics","TEXTILE_WASH","Textile wash",0.000180443,,
"CAN1","Canada","MICROPLASTICS","Microplastics","TYRE_ABRASION","Tyre abrasion",0.00823639,,
"CAN1","Canada","MICROPLASTICS","Microplastics","BRAKE_DUST","Brake dust",0.000524454,,
"CAN1","Canada","MICROPLASTICS","Microplastics","ROAD_MARKINGS","Road markings",0.002076816,,
"CAN1","Canada","MICROPLASTICS","Microplastics","MARINE_COATINGS","Marine coatings",0.000958061,,
"CAN1","Canada","MICROPLASTICS","Microplastics","ARTIFICIAL_TURF","Artificial turf",0.001215826,,
"CAN1","Canada","MICROPLASTICS","Microplastics","MICROPLASTICS_DUST","Microplastics dust",0.002175376,,
"CAN1","Canada","MICROPLASTICS","Microplastics","WW_SLUDGE","WW sludge",0.015363165,,
"CHN1","China","MACROPLASTICS","Macroplastics","TOTAL_MACROPLASTIC","Total Macroplastic",4.383619018,,
"CHN1","China","MACROPLASTICS","Macroplastics","MARINE_ACTIVITIES","Marine activities",0.112143269,,
"CHN1","China","MACROPLASTICS","Macroplastics","LITTERING","Littering",0.239826929,,
"CHN1","China","MACROPLASTICS","Macroplastics","MISMANAGED","Mismanaged",4.031648821,,
"CHN1","China","MICROPLASTICS","Microplastics","TOTAL_MICROPLASTIC","Total Microplastic",0.492723266,,
"CHN1","China","MICROPLASTICS","Microplastics","PRIMARY_PELLETS","Primary pellets",0.074236825,,
"CHN1","China","MICROPLASTICS","Microplastics","MICROBEADS","Microbeads",0.00199182,,
"CHN1","China","MICROPLASTICS","Microplastics","TEXTILE_WASH","Textile wash",0.004004459,,
