"LOCATION","Location","PLASTICS_APPLICATIONS","Plastics applications","PLASTICS_POLYMER","Plastics polymer","Value","Flag Codes","Flags"
"ODA","Other non-OECD Asia","ELECTRICAL_ELECTRONIC","Electrical/electronics","OTHER","Other",0.453628,,
"ODA","Other non-OECD Asia","ELECTRICAL_ELECTRONIC","Electrical/electronics","LDPE_LLDPE","LDPE, LLDPE",0.125797,,
"ODA","Other non-OECD Asia","ELECTRICAL_ELECTRONIC","Electrical/electronics","HDPE","HDPE",0.040815,,
"ODA","Other non-OECD Asia","ELECTRICAL_ELECTRONIC","Electrical/electronics","PP","PP",0.295117,,
"ODA","Other non-OECD Asia","ELECTRICAL_ELECTRONIC","Electrical/electronics","PS","PS",0.135743,,
"ODA","Other non-OECD Asia","ELECTRICAL_ELECTRONIC","Electrical/electronics","PVC","PVC",0.116265,,
"ODA","Other non-OECD Asia","ELECTRICAL_ELECTRONIC","Electrical/electronics","PUR","PUR",0.071733,,
"ODA","Other non-OECD Asia","ELECTRICAL_ELECTRONIC","Electrical/electronics","BIOPLASTICS","Bioplastics",0.00378,,
"ODA","Other non-OECD Asia","ELECTRICAL_ELECTRONIC","Electrical/electronics","ABS_ASA_SAN","ABS, ASA, SAN",0.200847,,
"ODA","Other non-OECD Asia","ELECTRICAL_ELECTRONIC","Electrical/electronics","TOTAL","Total",1.443724,,
"ODA","Other non-OECD Asia","TRANSPORTATION_-_OTHER","Transportation - other","OTHER","Other",4.220509,,
"ODA","Other non-OECD Asia","TRANSPORTATION_-_OTHER","Transportation - other","LDPE_LLDPE","LDPE, LLDPE",0.076338,,
"ODA","Other non-OECD Asia","TRANSPORTATION_-_OTHER","Transportation - other","HDPE","HDPE",0.348381,,
"ODA","Other non-OECD Asia","TRANSPORTATION_-_OTHER","Transportation - other","PP","PP",1.573336,,
"ODA","Other non-OECD Asia","TRANSPORTATION_-_OTHER","Transportation - other","PVC","PVC",0.216406,,
"ODA","Other non-OECD Asia","TRANSPORTATION_-_OTHER","Transportation - other","PUR","PUR",0.508086,,
"ODA","Other non-OECD Asia","TRANSPORTATION_-_OTHER","Transportation - other","FIBERS","Fibres",0.903174,,
"ODA","Other non-OECD Asia","TRANSPORTATION_-_OTHER","Transportation - other","BIOPLASTICS","Bioplastics",0.02466,,
"ODA","Other non-OECD Asia","TRANSPORTATION_-_OTHER","Transportation - other","ABS_ASA_SAN","ABS, ASA, SAN",0.221849,,
"ODA","Other non-OECD Asia","TRANSPORTATION_-_OTHER","Transportation - other","TOTAL","Total",8.092739,,
"ODA","Other non-OECD Asia","MARINE_COATINGS","Marine coatings","MARINE_COATINGS","Marine coatings",0.046077,,
"ODA","Other non-OECD Asia","MARINE_COATINGS","Marine coatings","TOTAL","Total",0.046077,,
"ODA","Other non-OECD Asia","INDUSTRIAL_MACHINERY","Industrial/machinery","LDPE_LLDPE","LDPE, LLDPE",0.000912,,
"ODA","Other non-OECD Asia","INDUSTRIAL_MACHINERY","Industrial/machinery","HDPE","HDPE",0.001056,,
"ODA","Other non-OECD Asia","INDUSTRIAL_MACHINERY","Industrial/machinery","PP","PP",0.001148,,
"ODA","Other non-OECD Asia","INDUSTRIAL_MACHINERY","Industrial/machinery","TOTAL","Total",0.003132,,
